[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | SQL: SHOW COLUMNS FROM `zz_staff` [ RunTime:0.005701s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | SQL: SELECT * FROM `zz_staff`  [ RunTime:0.000513s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | SQL: SHOW COLUMNS FROM `zz_role` [ RunTime:0.005691s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | SQL: SELECT * FROM `zz_role`  [ RunTime:0.000410s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Tag[ view_template ] --START--
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Run LocationTemplate Behavior [ RunTime:0.000693s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Tag[ view_template ] --END-- [ RunTime:0.000774s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Tag[ view_parse ] --START--
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Run ParseTemplate Behavior [ RunTime:0.000906s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Tag[ view_parse ] --END-- [ RunTime:0.000960s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Tag[ view_filter ] --START--
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Run ContentReplace Behavior [ RunTime:0.000517s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Run TokenBuild Behavior [ RunTime:0.000475s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Run WriteHtmlCache Behavior [ RunTime:0.000245s ]
[ 2013-11-19T12:17:57+08:00 ] /zzadmin/admin.php/User/adduser?aa=show | DEBUG: Run ShowRuntime Behavior [ RunTime:0.000432s ]
